Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Revenue,Profit,Profit Margin %
CA-2024-100028,2023-12-24,2023-12-25,Standard Class,CU-1038,Home Office,Europe,Office Supplies,Paper,Paper Model 48,176.84,3,0.1,159.16,63.97,40.19
CA-2023-100029,2023-01-09,2023-01-16,Standard Class,CU-1460,Corporate,Europe,Office Supplies,Binders,Binders Model 86,35.32,9,0.1,31.79,3.81,11.98
CA-2024-100030,2022-06-08,2022-06-10,Second Class,CU-1499,Consumer,Latam,Electronics,Smartphones,Smartphones Model 95,1864.08,7,0.5,932.04,-483.21,-51.84
CA-2022-100031,2022-10-01,2022-10-03,Standard Class,CU-1195,Consumer,Latam,Electronics,Smartphones,Smartphones Model 59,829.39,4,0.0,829.39,408.81,49.29
CA-2022-100032,2023-02-13,2023-02-16,First Class,CU-1442,Consumer,Asia-Pacific,Furniture,Office Desks,Office Desks Model 52,1051.33,9,0.0,1051.33,229.43,21.82
CA-2022-100033,2024-06-17,2024-06-20,Second Class,CU-1297,Corporate,North America,Electronics,Accessories,Accessories Model 56,822.24,6,0.1,740.02,179.36,24.24
CA-2024-100034,2022-04-29,2022-05-03,Second Class,CU-1130,Consumer,Latam,Electronics,Accessories,Accessories Model 69,1436.34,4,0.0,1436.34,532.32,37.06
CA-2024-100035,2024-07-31,2024-08-03,First Class,CU-1339,Consumer,Asia-Pacific,Office Supplies,Pens,Pens Model 86,125.48,7,0.5,62.74,-11.13,-17.74
CA-2022-100036,2022-07-16,2022-07-20,Same Day,CU-1346,Home Office,Europe,Office Supplies,Art Supplies,Art Supplies Model 39,124.79,1,0.0,124.79,51.65,41.39
CA-2023-100037,2024-03-15,2024-03-20,First Class,CU-1238,Corporate,Latam,Office Supplies,Binders,Binders Model 66,144.59,3,0.5,72.3,-3.68,-5.09
CA-2024-100038,2023-11-11,2023-11-14,Standard Class,CU-1419,Consumer,Asia-Pacific,Electronics,Smartphones,Smartphones Model 19,243.97,4,0.1,219.57,52.85,24.07
CA-2022-100039,2023-04-12,2023-04-16,Second Class,CU-1367,Home Office,Latam,Furniture,Sofas,Sofas Model 32,306.6,1,0.0,306.6,81.7,26.65
CA-2022-100040,2022-06-30,2022-07-07,Same Day,CU-1025,Home Office,Europe,Electronics,Monitors,Monitors Model 18,1642.55,9,0.2,1314.04,199.35,15.17
CA-2023-100041,2023-09-20,2023-09-27,Same Day,CU-1425,Home Office,Latam,Electronics,Monitors,Monitors Model 58,666.54,4,0.5,333.27,-55.45,-16.64
CA-2024-100042,2023-05-12,2023-05-18,Second Class,CU-1140,Corporate,North America,Office Supplies,Pens,Pens Model 31,85.16,6,0.2,68.13,23.49,34.48
CA-2022-100043,2022-08-25,2022-08-29,Second Class,CU-1361,Consumer,North America,Furniture,Sofas,Sofas Model 43,859.66,7,0.0,859.66,376.49,43.8
CA-2023-100044,2023-02-03,2023-02-10,Standard Class,CU-1438,Home Office,Latam,Furniture,Chairs,Chairs Model 46,518.06,7,0.1,466.25,123.57,26.5
CA-2024-100045,2023-07-14,2023-07-21,Second Class,CU-1249,Consumer,Asia-Pacific,Furniture,Sofas,Sofas Model 4,644.4,7,0.5,322.2,-31.91,-9.9
CA-2023-100046,2024-07-30,2024-08-01,Standard Class,CU-1464,Corporate,Emea,Office Supplies,Paper,Paper Model 11,194.61,3,0.1,175.15,67.23,38.38
CA-2023-100047,2023-01-24,2023-01-27,Second Class,CU-1232,Corporate,Asia-Pacific,Furniture,Bookcases,Bookcases Model 97,1431.69,7,0.0,1431.69,357.24,24.95
CA-2023-100048,2022-01-20,2022-01-26,Standard Class,CU-1487,Corporate,Europe,Office Supplies,Paper,Paper Model 100,287.4,1,0.0,287.4,61.82,21.51
CA-2022-100049,2024-05-09,2024-05-10,Second Class,CU-1122,Consumer,Latam,Office Supplies,Paper,Paper Model 73,284.59,8,0.5,142.29,-21.88,-15.38
CA-2023-100050,2022-06-21,2022-06-26,Standard Class,CU-1398,Consumer,Asia-Pacific,Electronics,Accessories,Accessories Model 4,1872.0,10,0.5,936.0,-509.95,-54.48
CA-2023-100051,2023-02-11,2023-02-17,Second Class,CU-1038,Home Office,Europe,Electronics,Tablets,Tablets Model 88,1280.74,2,0.2,1024.59,83.52,8.15
CA-2023-100052,2023-06-30,2023-07-04,First Class,CU-1035,Home Office,Asia-Pacific,Electronics,Monitors,Monitors Model 63,389.97,6,0.5,194.98,-104.31,-53.5
CA-2023-100053,2023-12-26,2023-12-28,First Class,CU-1315,Home Office,Latam,Furniture,Sofas,Sofas Model 94,929.46,6,0.0,929.46,233.09,25.08
CA-2022-100054,2022-10-13,2022-10-17,Second Class,CU-1384,Corporate,Emea,Office Supplies,Storage,Storage Model 44,13.47,6,0.0,13.47,4.76,35.34
CA-2023-100055,2024-03-27,2024-03-30,First Class,CU-1143,Home Office,Asia-Pacific,Office Supplies,Paper,Paper Model 67,284.68,2,0.0,284.68,80.84,28.4
CA-2023-100056,2023-07-23,2023-07-30,Second Class,CU-1353,Corporate,Latam,Furniture,Chairs,Chairs Model 12,511.93,7,0.5,255.96,-37.37,-14.6
CA-2024-100057,2023-08-19,2023-08-22,Same Day,CU-1283,Home Office,Asia-Pacific,Furniture,Office Desks,Office Desks Model 43,592.53,8,0.0,592.53,241.76,40.8
CA-2022-100058,2022-05-04,2022-05-10,Second Class,CU-1161,Consumer,Emea,Office Supplies,Binders,Binders Model 25,68.83,8,0.0,68.83,19.45,28.26
CA-2024-100059,2023-09-04,2023-09-07,Standard Class,CU-1426,Consumer,Asia-Pacific,Electronics,Tablets,Tablets Model 23,744.08,9,0.0,744.08,310.81,41.77
CA-2022-100060,2023-07-21,2023-07-24,Second Class,CU-1326,Corporate,North America,Electronics,Accessories,Accessories Model 37,1044.91,8,0.0,1044.91,464.66,44.47
CA-2022-100061,2022-09-16,2022-09-23,Same Day,CU-1058,Consumer,Latam,Furniture,Chairs,Chairs Model 74,981.22,1,0.0,981.22,446.69,45.52
CA-2024-100062,2024-08-29,2024-09-01,Standard Class,CU-1127,Consumer,Emea,Furniture,Office Desks,Office Desks Model 77,1207.04,4,0.2,965.63,224.37,23.24
CA-2023-100063,2022-11-01,2022-11-05,First Class,CU-1291,Home Office,North America,Office Supplies,Paper,Paper Model 98,66.3,4,0.0,66.3,20.01,30.18
CA-2022-100064,2022-09-03,2022-09-05,Standard Class,CU-1080,Consumer,Latam,Furniture,Office Desks,Office Desks Model 61,507.76,4,0.0,507.76,146.19,28.79
CA-2024-100065,2024-05-30,2024-06-03,Standard Class,CU-1351,Consumer,Asia-Pacific,Office Supplies,Art Supplies,Art Supplies Model 85,242.15,4,0.1,217.94,88.52,40.62
CA-2022-100066,2023-10-26,2023-10-28,First Class,CU-1423,Consumer,North America,Electronics,Smartphones,Smartphones Model 40,1271.08,10,0.0,1271.08,468.08,36.83
CA-2023-100067,2023-12-07,2023-12-11,First Class,CU-1256,Home Office,Latam,Furniture,Chairs,Chairs Model 77,155.81,7,0.5,77.9,-15.07,-19.35
CA-2023-100068,2022-01-27,2022-01-28,Second Class,CU-1492,Home Office,Emea,Office Supplies,Paper,Paper Model 98,203.32,5,0.2,162.66,58.54,35.99
CA-2022-100069,2023-04-27,2023-05-02,Same Day,CU-1469,Corporate,Europe,Office Supplies,Storage,Storage Model 82,245.2,2,0.1,220.68,72.48,32.84
CA-2023-100070,2022-11-25,2022-12-02,Second Class,CU-1168,Corporate,Latam,Furniture,Sofas,Sofas Model 98,870.14,8,0.0,870.14,352.97,40.56
CA-2023-100071,2022-04-29,2022-05-06,Same Day,CU-1442,Home Office,North America,Office Supplies,Art Supplies,Art Supplies Model 60,126.91,4,0.2,101.53,24.3,23.93
CA-2023-100072,2023-10-03,2023-10-07,Standard Class,CU-1104,Corporate,Emea,Electronics,Tablets,Tablets Model 57,1785.52,8,0.0,1785.52,877.3,49.13
CA-2024-100073,2023-09-16,2023-09-23,Second Class,CU-1363,Consumer,Asia-Pacific,Office Supplies,Paper,Paper Model 71,125.36,4,0.0,125.36,45.33,36.16
CA-2022-100074,2023-10-26,2023-11-02,Second Class,CU-1255,Home Office,Asia-Pacific,Office Supplies,Pens,Pens Model 54,251.24,8,0.0,251.24,91.19,36.3
CA-2022-100075,2023-01-28,2023-01-30,Second Class,CU-1442,Consumer,Asia-Pacific,Furniture,Bookcases,Bookcases Model 65,474.04,1,0.0,474.04,133.77,28.22
CA-2024-100076,2023-08-17,2023-08-23,Same Day,CU-1443,Consumer,Latam,Office Supplies,Storage,Storage Model 45,103.07,9,0.1,92.76,27.15,29.27
CA-2023-100077,2024-06-09,2024-06-11,Second Class,CU-1292,Corporate,Europe,Furniture,Chairs,Chairs Model 41,1142.59,7,0.1,1028.33,118.23,11.5
CA-2024-100078,2022-06-05,2022-06-09,Standard Class,CU-1064,Home Office,Emea,Furniture,Chairs,Chairs Model 57,239.6,8,0.0,239.6,67.87,28.33
CA-2023-100079,2024-06-10,2024-06-16,Second Class,CU-1038,Corporate,Asia-Pacific,Furniture,Office Desks,Office Desks Model 89,656.48,2,0.0,656.48,160.38,24.43
CA-2024-100080,2023-01-25,2023-01-28,Same Day,CU-1446,Home Office,North America,Office Supplies,Paper,Paper Model 31,191.19,5,0.0,191.19,52.76,27.6
CA-2023-100081,2022-04-11,2022-04-18,Standard Class,CU-1227,Consumer,Asia-Pacific,Electronics,Laptops,Laptops Model 42,1633.06,5,0.0,1633.06,632.89,38.75
CA-2022-100082,2022-09-08,2022-09-13,Same Day,CU-1289,Home Office,Europe,Electronics,Smartphones,Smartphones Model 11,1297.09,7,0.2,1037.67,123.3,11.88
CA-2023-100083,2024-07-23,2024-07-28,Second Class,CU-1118,Corporate,Asia-Pacific,Furniture,Bookcases,Bookcases Model 86,113.16,8,0.0,113.16,33.58,29.67
CA-2022-100084,2022-03-17,2022-03-21,First Class,CU-1300,Corporate,Latam,Office Supplies,Pens,Pens Model 59,254.36,4,0.1,228.92,36.63,16.0
CA-2022-100085,2022-08-31,2022-09-04,First Class,CU-1294,Corporate,Asia-Pacific,Electronics,Monitors,Monitors Model 36,214.58,1,0.2,171.66,16.4,9.55
CA-2023-100086,2024-03-05,2024-03-12,Second Class,CU-1310,Corporate,Europe,Office Supplies,Binders,Binders Model 80,78.93,3,0.5,39.47,-2.3,-5.83
CA-2024-100087,2023-10-24,2023-10-25,First Class,CU-1403,Corporate,North America,Office Supplies,Pens,Pens Model 94,43.77,5,0.0,43.77,12.07,27.58
CA-2022-100088,2022-07-25,2022-07-27,First Class,CU-1271,Home Office,Asia-Pacific,Electronics,Tablets,Tablets Model 62,1941.29,5,0.5,970.64,-506.91,-52.22
CA-2022-100089,2023-04-25,2023-04-26,Second Class,CU-1386,Consumer,Latam,Office Supplies,Pens,Pens Model 12,238.25,1,0.0,238.25,80.77,33.9
CA-2023-100090,2023-01-13,2023-01-19,First Class,CU-1299,Corporate,Asia-Pacific,Electronics,Smartphones,Smartphones Model 61,245.04,9,0.0,245.04,55.24,22.54
CA-2022-100091,2023-10-26,2023-10-27,Same Day,CU-1465,Home Office,Asia-Pacific,Office Supplies,Storage,Storage Model 15,46.23,1,0.0,46.23,9.3,20.12
CA-2022-100092,2022-04-10,2022-04-12,Second Class,CU-1198,Corporate,Asia-Pacific,Office Supplies,Art Supplies,Art Supplies Model 54,178.27,3,0.1,160.44,36.28,22.61
CA-2023-100093,2023-09-23,2023-09-27,First Class,CU-1016,Home Office,Asia-Pacific,Electronics,Monitors,Monitors Model 57,1911.0,6,0.0,1911.0,393.13,20.57
CA-2023-100094,2023-07-12,2023-07-18,First Class,CU-1031,Corporate,Asia-Pacific,Electronics,Laptops,Laptops Model 59,365.01,4,0.5,182.5,-70.03,-38.37
CA-2022-100095,2022-02-21,2022-02-28,First Class,CU-1124,Consumer,Emea,Electronics,Laptops,Laptops Model 98,1197.57,10,0.0,1197.57,306.68,25.61
CA-2022-100096,2022-12-03,2022-12-10,Standard Class,CU-1141,Consumer,Europe,Office Supplies,Pens,Pens Model 23,37.43,1,0.0,37.43,18.55,49.56
CA-2022-100097,2023-08-26,2023-08-29,Standard Class,CU-1089,Corporate,North America,Electronics,Monitors,Monitors Model 68,404.57,2,0.1,364.11,107.42,29.5
CA-2023-100098,2023-06-10,2023-06-15,Standard Class,CU-1231,Home Office,Europe,Office Supplies,Paper,Paper Model 94,236.05,9,0.0,236.05,85.59,36.26
CA-2022-100099,2022-03-04,2022-03-08,Same Day,CU-1218,Home Office,North America,Furniture,Sofas,Sofas Model 10,1358.97,6,0.2,1087.18,347.22,31.94
CA-2022-100100,2022-10-09,2022-10-14,First Class,CU-1195,Home Office,Emea,Furniture,Sofas,Sofas Model 65,758.06,2,0.5,379.03,-32.53,-8.58
CA-2024-100101,2023-10-29,2023-11-05,Second Class,CU-1220,Corporate,Europe,Furniture,Bookcases,Bookcases Model 59,658.22,2,0.0,658.22,244.84,37.2
CA-2024-100102,2022-09-19,2022-09-22,Second Class,CU-1351,Corporate,North America,Electronics,Laptops,Laptops Model 12,977.38,6,0.0,977.38,325.55,33.31
CA-2024-100103,2024-09-06,2024-09-11,First Class,CU-1343,Consumer,Latam,Furniture,Sofas,Sofas Model 93,172.02,5,0.2,137.62,35.48,25.78
CA-2022-100104,2023-08-15,2023-08-20,Second Class,CU-1079,Home Office,Latam,Electronics,Laptops,Laptops Model 45,1721.67,6,0.0,1721.67,466.95,27.12
CA-2024-100105,2022-08-20,2022-08-27,Same Day,CU-1432,Home Office,Emea,Office Supplies,Art Supplies,Art Supplies Model 4,184.65,5,0.0,184.65,82.33,44.59
CA-2024-100106,2024-02-20,2024-02-23,First Class,CU-1179,Consumer,Europe,Electronics,Accessories,Accessories Model 85,921.41,3,0.5,460.7,-175.02,-37.99
CA-2022-100107,2022-04-04,2022-04-10,Second Class,CU-1192,Corporate,Latam,Furniture,Tables,Tables Model 48,536.29,6,0.2,429.03,64.96,15.14
CA-2022-100108,2022-06-09,2022-06-11,Standard Class,CU-1345,Consumer,Asia-Pacific,Furniture,Sofas,Sofas Model 63,949.91,7,0.0,949.91,413.52,43.53
CA-2024-100109,2022-04-27,2022-04-30,Same Day,CU-1056,Corporate,Emea,Furniture,Office Desks,Office Desks Model 86,531.79,4,0.1,478.61,55.66,11.63
CA-2022-100110,2022-01-08,2022-01-10,First Class,CU-1484,Consumer,Europe,Furniture,Bookcases,Bookcases Model 42,267.98,8,0.5,133.99,-34.62,-25.84
CA-2022-100111,2023-01-25,2023-01-30,Second Class,CU-1256,Home Office,Asia-Pacific,Electronics,Monitors,Monitors Model 95,276.14,1,0.1,248.53,34.15,13.74
CA-2023-100112,2023-08-13,2023-08-17,Same Day,CU-1363,Home Office,Latam,Furniture,Chairs,Chairs Model 52,129.2,6,0.0,129.2,33.54,25.96
CA-2024-100113,2023-04-17,2023-04-24,First Class,CU-1045,Corporate,North America,Electronics,Monitors,Monitors Model 76,920.81,2,0.1,828.73,127.85,15.43
CA-2024-100114,2022-12-14,2022-12-21,Second Class,CU-1039,Home Office,North America,Office Supplies,Art Supplies,Art Supplies Model 25,272.25,6,0.0,272.25,76.72,28.18
CA-2024-100115,2024-04-14,2024-04-16,Second Class,CU-1052,Consumer,Asia-Pacific,Electronics,Smartphones,Smartphones Model 78,475.17,2,0.0,475.17,101.98,21.46
CA-2024-100116,2023-05-21,2023-05-25,Same Day,CU-1348,Home Office,Emea,Furniture,Bookcases,Bookcases Model 20,715.67,8,0.1,644.1,150.71,23.4
CA-2023-100117,2023-08-29,2023-08-30,First Class,CU-1259,Consumer,Asia-Pacific,Furniture,Sofas,Sofas Model 5,179.65,5,0.0,179.65,55.08,30.66
CA-2022-100118,2023-09-22,2023-09-27,Same Day,CU-1236,Home Office,Emea,Office Supplies,Paper,Paper Model 58,273.17,10,0.5,136.58,-15.43,-11.3
CA-2024-100119,2023-05-03,2023-05-08,Second Class,CU-1490,Consumer,Latam,Electronics,Tablets,Tablets Model 92,351.79,3,0.0,351.79,149.75,42.57
CA-2023-100120,2023-03-26,2023-03-31,Second Class,CU-1186,Corporate,Asia-Pacific,Furniture,Sofas,Sofas Model 100,573.71,10,0.0,573.71,151.02,26.32
CA-2024-100121,2022-12-09,2022-12-10,Same Day,CU-1145,Corporate,Emea,Electronics,Tablets,Tablets Model 11,1248.93,3,0.0,1248.93,508.23,40.69
CA-2024-100122,2023-12-17,2023-12-19,Standard Class,CU-1158,Home Office,Latam,Office Supplies,Pens,Pens Model 17,202.68,9,0.0,202.68,62.06,30.62
CA-2023-100123,2023-06-05,2023-06-08,Standard Class,CU-1185,Corporate,Europe,Electronics,Tablets,Tablets Model 99,1075.29,4,0.0,1075.29,487.66,45.35
CA-2023-100124,2024-05-14,2024-05-21,Standard Class,CU-1259,Home Office,Emea,Electronics,Tablets,Tablets Model 99,1312.46,10,0.1,1181.21,464.25,39.3
CA-2022-100125,2024-05-01,2024-05-07,Second Class,CU-1369,Corporate,North America,Furniture,Bookcases,Bookcases Model 87,1107.42,8,0.2,885.94,237.57,26.82
CA-2024-100126,2024-03-13,2024-03-17,Second Class,CU-1273,Consumer,Asia-Pacific,Furniture,Tables,Tables Model 48,1049.63,10,0.1,944.67,274.47,29.05
CA-2023-100127,2024-03-07,2024-03-11,Same Day,CU-1494,Consumer,Europe,Office Supplies,Binders,Binders Model 33,20.39,8,0.0,20.39,6.8,33.35
CA-2022-100128,2023-12-30,2024-01-06,Standard Class,CU-1145,Consumer,Europe,Furniture,Sofas,Sofas Model 66,306.29,7,0.0,306.29,66.18,21.61
CA-2022-100129,2024-04-16,2024-04-20,First Class,CU-1476,Consumer,Latam,Electronics,Monitors,Monitors Model 65,873.13,7,0.0,873.13,338.36,38.75
CA-2022-100130,2022-11-23,2022-11-30,First Class,CU-1405,Consumer,Europe,Electronics,Tablets,Tablets Model 61,1452.93,3,0.5,726.46,-204.48,-28.15
CA-2024-100131,2022-01-06,2022-01-07,Standard Class,CU-1131,Consumer,Europe,Office Supplies,Art Supplies,Art Supplies Model 68,129.86,5,0.0,129.86,53.2,40.97
CA-2022-100132,2022-09-02,2022-09-06,Same Day,CU-1032,Consumer,Latam,Office Supplies,Art Supplies,Art Supplies Model 3,191.43,10,0.0,191.43,54.45,28.44
CA-2023-100133,2023-03-16,2023-03-17,First Class,CU-1123,Home Office,Latam,Electronics,Laptops,Laptops Model 68,1954.38,2,0.2,1563.5,267.31,17.1
CA-2024-100134,2023-07-22,2023-07-23,Same Day,CU-1447,Corporate,North America,Office Supplies,Storage,Storage Model 48,79.83,1,0.0,79.83,21.03,26.34
CA-2023-100135,2022-09-04,2022-09-10,Standard Class,CU-1395,Home Office,Asia-Pacific,Electronics,Laptops,Laptops Model 46,1182.82,3,0.5,591.41,-164.87,-27.88
CA-2024-100136,2023-05-06,2023-05-12,Second Class,CU-1415,Consumer,North America,Office Supplies,Storage,Storage Model 5,91.57,1,0.0,91.57,21.45,23.42
CA-2023-100137,2024-08-13,2024-08-16,Same Day,CU-1417,Home Office,Latam,Furniture,Chairs,Chairs Model 97,1005.66,5,0.0,1005.66,242.72,24.14
CA-2022-100138,2024-06-05,2024-06-11,First Class,CU-1139,Consumer,Asia-Pacific,Furniture,Sofas,Sofas Model 96,715.63,7,0.0,715.63,148.77,20.79
CA-2023-100139,2023-12-10,2023-12-17,First Class,CU-1410,Consumer,Latam,Electronics,Monitors,Monitors Model 78,1991.18,3,0.2,1592.94,421.87,26.48
CA-2022-100140,2022-03-23,2022-03-26,First Class,CU-1156,Corporate,Emea,Office Supplies,Storage,Storage Model 22,208.48,6,0.1,187.63,80.74,43.03
CA-2023-100141,2023-09-22,2023-09-26,First Class,CU-1327,Consumer,North America,Office Supplies,Storage,Storage Model 47,156.36,3,0.0,156.36,71.48,45.72
CA-2024-100142,2023-11-26,2023-11-27,Second Class,CU-1034,Consumer,Asia-Pacific,Furniture,Sofas,Sofas Model 73,145.34,3,0.5,72.67,-19.62,-27.0
CA-2023-100143,2023-01-16,2023-01-20,Standard Class,CU-1293,Consumer,Emea,Furniture,Sofas,Sofas Model 41,1009.39,4,0.0,1009.39,496.85,49.22
CA-2022-100144,2023-05-27,2023-06-01,Same Day,CU-1467,Home Office,North America,Furniture,Bookcases,Bookcases Model 91,724.78,10,0.0,724.78,211.5,29.18
CA-2023-100145,2022-07-24,2022-07-25,Second Class,CU-1436,Consumer,Latam,Electronics,Monitors,Monitors Model 12,1658.92,6,0.5,829.46,-172.91,-20.85
CA-2022-100146,2023-07-18,2023-07-23,First Class,CU-1456,Corporate,Europe,Office Supplies,Binders,Binders Model 47,155.08,2,0.0,155.08,40.69,26.24
CA-2022-100147,2024-03-20,2024-03-24,Standard Class,CU-1184,Home Office,Emea,Furniture,Sofas,Sofas Model 71,281.68,2,0.0,281.68,114.7,40.72
CA-2024-100148,2024-01-07,2024-01-11,Same Day,CU-1393,Corporate,Emea,Electronics,Smartphones,Smartphones Model 41,1356.21,8,0.1,1220.59,265.77,21.77
CA-2023-100149,2022-05-12,2022-05-19,Second Class,CU-1393,Consumer,Latam,Office Supplies,Paper,Paper Model 16,157.84,5,0.0,157.84,71.25,45.14
CA-2024-100150,2022-08-19,2022-08-22,First Class,CU-1433,Consumer,Asia-Pacific,Electronics,Accessories,Accessories Model 36,425.31,5,0.2,340.25,59.52,17.49
CA-2024-100151,2023-10-19,2023-10-21,Second Class,CU-1087,Home Office,Emea,Office Supplies,Art Supplies,Art Supplies Model 44,253.55,10,0.0,253.55,64.0,25.24
CA-2022-100152,2022-03-25,2022-03-26,First Class,CU-1333,Consumer,Emea,Furniture,Office Desks,Office Desks Model 82,142.4,9,0.0,142.4,43.78,30.74
CA-2023-100153,2023-05-10,2023-05-12,Same Day,CU-1152,Corporate,North America,Office Supplies,Paper,Paper Model 21,134.68,8,0.1,121.21,45.63,37.65
CA-2024-100154,2022-05-28,2022-05-31,First Class,CU-1375,Corporate,Latam,Electronics,Tablets,Tablets Model 66,1210.97,6,0.0,1210.97,436.02,36.01
CA-2023-100155,2023-04-06,2023-04-08,Second Class,CU-1049,Consumer,Asia-Pacific,Furniture,Office Desks,Office Desks Model 54,447.58,3,0.0,447.58,98.41,21.99
CA-2024-100156,2022-11-17,2022-11-19,Same Day,CU-1263,Corporate,Latam,Furniture,Sofas,Sofas Model 3,226.07,7,0.2,180.86,36.81,20.35
CA-2022-100157,2022-08-09,2022-08-14,First Class,CU-1024,Consumer,Asia-Pacific,Furniture,Office Desks,Office Desks Model 84,1041.53,5,0.2,833.22,309.9,37.19
CA-2022-100158,2023-03-18,2023-03-20,First Class,CU-1372,Corporate,Latam,Furniture,Chairs,Chairs Model 52,171.62,9,0.0,171.62,67.15,39.13
